ProductKey_A,ProductKey_B,CoOccurrence,SupportA,SupportB,SupportAB,Lift,ProductA,ProductB
345,377,6,0.0117,0.0155,0.00083,4.54,Sundial EcoFriendly Paint Sprayer,Milbrook Advanced Blender
202,261,6,0.0122,0.0149,0.00083,4.54,Orin Signature Humidifier,Milbrook HeavyDuty Microwave
140,275,7,0.0144,0.0147,0.00096,4.53,Milbrook EcoFriendly Slow Cooker,Lumen Smart Cordless Drill
197,232,7,0.015,0.0142,0.00096,4.53,Meadow UltraLight Coffee Beans 1kg,Vireo Compact Kids Watch
304,357,6,0.0154,0.0118,0.00083,4.53,Northline Signature Neck Pillow,Fjord Essential Ring Light
248,430,6,0.0127,0.0144,0.00083,4.51,Milbrook HeavyDuty Action Camera,Trailhead Classic Microphone Kit
84,181,6,0.0151,0.0121,0.00083,4.51,Halcyon Everyday Planner 2026,Pallet Wireless Chew Toy Pack
218,354,6,0.0131,0.014,0.00083,4.5,Alto EcoFriendly Electric Toothbrush,Roverly Premium Tool Set
74,303,8,0.0135,0.0182,0.0011,4.5,Cinder Deluxe Stud Earrings,Orin EcoFriendly Controller
4,112,7,0.0169,0.0127,0.00096,4.5,Cinder EcoFriendly BBQ Grill,Meadow UltraLight Dash Cam
240,409,7,0.0144,0.0149,0.00096,4.49,Trailhead Smart Sports Watch,Sundial Pro Controller
169,187,7,0.0143,0.015,0.00096,4.49,Milbrook Wireless Plush Toy,Vireo UltraLight Resistance Bands
18,48,7,0.015,0.0143,0.00096,4.49,Trailhead Everyday Watch Band,Meadow Advanced Tea Sampler
15,246,5,0.0113,0.0136,0.00069,4.48,Verve Advanced RC Car,Kestrel EcoFriendly Shaver
110,146,6,0.0147,0.0125,0.00083,4.48,Sundial Premium Nursery Lamp,Roverly Pro Stroller
27,50,7,0.016,0.0135,0.00096,4.48,Cinder Smart Stroller,Meadow Advanced Gaming Chair
15,293,5,0.0113,0.0136,0.00069,4.48,Verve Advanced RC Car,Wrenfield UltraLight Massage Gun
163,276,6,0.0146,0.0127,0.00083,4.47,Milbrook Classic Notebook Pack,Roverly Wireless Sneakers
316,359,6,0.0144,0.0128,0.00083,4.47,Halcyon Everyday Ring Set,Wrenfield Pro Vacuum Cleaner
13,249,6,0.0129,0.0143,0.00083,4.46,Vireo Signature Travel Backpack,Cinder UltraLight Cookbook
23,215,7,0.0132,0.0164,0.00096,4.45,Orin Compact Packing Cubes,Basecamp Essential Digital Thermometer
41,90,6,0.014,0.0132,0.00083,4.45,Milbrook Compact Sketchbook,Halcyon Smart Dive Watch
41,304,7,0.014,0.0154,0.00096,4.45,Milbrook Compact Sketchbook,Northline Signature Neck Pillow
96,130,6,0.0133,0.0139,0.00083,4.45,Roverly Advanced Nursery Lamp,Fjord Deluxe Packing Cubes
41,190,8,0.014,0.0176,0.0011,4.45,Milbrook Compact Sketchbook,Roverly Everyday Massage Gun
120,237,8,0.0162,0.0153,0.0011,4.44,Vireo EcoFriendly Jump Starter,Lumen Compact Stroller
66,113,7,0.0168,0.0129,0.00096,4.44,Lumen EcoFriendly Phone Mount,Wrenfield Premium Shaver
116,262,7,0.0149,0.0146,0.00096,4.44,Pallet Everyday Kettle,Vireo HeavyDuty Calligraphy Set
110,276,6,0.0147,0.0127,0.00083,4.43,Sundial Premium Nursery Lamp,Roverly Wireless Sneakers
203,421,7,0.0131,0.0166,0.00096,4.43,Meadow Smart Smart Watch,Vireo Wireless Dive Watch
109,276,6,0.0147,0.0127,0.00083,4.43,Alto Classic Notebook Pack,Roverly Wireless Sneakers
60,186,7,0.0139,0.0157,0.00096,4.42,Lumen Smart Bed Frame,Pallet Premium Cookbook
271,429,6,0.0133,0.014,0.00083,4.41,Basecamp UltraLight Hiking Boots,Vireo Deluxe Cordless Drill
299,331,6,0.0133,0.014,0.00083,4.41,Sundial Signature Sketchbook,Meadow Portable Glue Gun Kit
29,41,7,0.0155,0.014,0.00096,4.41,Meadow Compact Label Printer,Milbrook Compact Sketchbook
126,411,6,0.0139,0.0135,0.00083,4.41,Alto Portable Storage Ottoman,Vireo Everyday Sneakers
12,119,6,0.0143,0.0131,0.00083,4.41,Alto Portable Laptop Stand,Cinder Portable Winter Coat
310,317,8,0.015,0.0166,0.0011,4.41,Alto EcoFriendly Tea Sampler,Lumen Essential Board Game
323,325,7,0.0164,0.0133,0.00096,4.41,Kestrel EcoFriendly Paint Set,Pallet Everyday Cordless Drill
19,92,7,0.0138,0.016,0.00096,4.39,Meadow Smart Smart Plug,Milbrook Deluxe Winter Coat
14,174,8,0.0171,0.0147,0.0011,4.38,Cinder Essential Standing Desk,Basecamp Deluxe Bed Frame
94,201,6,0.0144,0.0131,0.00083,4.37,Milbrook HeavyDuty Stroller,Roverly Wireless Toiletry Bag
201,316,6,0.0131,0.0144,0.00083,4.37,Roverly Wireless Toiletry Bag,Halcyon Everyday Ring Set
223,328,8,0.015,0.0168,0.0011,4.37,Roverly Wireless Coffee Maker,Kestrel Portable Electric Toothbrush
170,244,7,0.0153,0.0144,0.00096,4.37,Roverly Signature Cordless Drill,Orin Smart Sewing Kit
17,48,6,0.0132,0.0143,0.00083,4.37,Wrenfield Deluxe RC Car,Meadow Advanced Tea Sampler
29,137,7,0.0155,0.0142,0.00096,4.37,Meadow Compact Label Printer,Milbrook Compact Nursery Lamp
279,370,6,0.0131,0.0144,0.00083,4.37,Vireo Classic Analog Watch,Verve Compact Keyboard 61-Key
15,66,6,0.0113,0.0168,0.00083,4.36,Verve Advanced RC Car,Lumen EcoFriendly Phone Mount
310,364,7,0.015,0.0147,0.00096,4.36,Alto EcoFriendly Tea Sampler,Meadow Deluxe Resistance Bands
80,133,6,0.014,0.0135,0.00083,4.36,Roverly Essential 4K Monitor,Milbrook HeavyDuty Sandals
365,429,6,0.0135,0.014,0.00083,4.36,Verve Portable Jump Starter,Vireo Deluxe Cordless Drill
182,276,6,0.015,0.0127,0.00083,4.35,Vireo Deluxe Coffee Beans 1kg,Roverly Wireless Sneakers
101,199,5,0.014,0.0113,0.00069,4.35,Wrenfield Pro Chew Toy Pack,Sundial Portable Kids Watch
63,123,7,0.0132,0.0168,0.00096,4.34,Pallet HeavyDuty Cordless Drill,Lumen HeavyDuty Drum Pad
145,166,7,0.0132,0.0168,0.00096,4.34,Cinder Classic Sewing Kit,Alto Pro Dive Watch
1,112,5,0.0125,0.0127,0.00069,4.34,Milbrook Deluxe Coffee Beans 1kg,Meadow UltraLight Dash Cam
175,208,7,0.0135,0.0165,0.00096,4.33,Orin Portable High Chair,Northline HeavyDuty Nursery Lamp
54,184,7,0.0142,0.0157,0.00096,4.33,Kestrel Premium Coffee Maker,Trailhead Wireless Phone Mount
90,292,6,0.0132,0.0144,0.00083,4.33,Halcyon Smart Dive Watch,Halcyon Premium Nursery Lamp
184,265,7,0.0157,0.0142,0.00096,4.33,Trailhead Wireless Phone Mount,Fjord Everyday Hiking Boots
119,262,6,0.0131,0.0146,0.00083,4.33,Cinder Portable Winter Coat,Vireo HeavyDuty Calligraphy Set
201,262,6,0.0131,0.0146,0.00083,4.33,Roverly Wireless Toiletry Bag,Vireo HeavyDuty Calligraphy Set
312,430,5,0.011,0.0144,0.00069,4.33,Kestrel Wireless Drum Pad,Trailhead Classic Microphone Kit
140,145,6,0.0144,0.0132,0.00083,4.33,Milbrook EcoFriendly Slow Cooker,Cinder Classic Sewing Kit
198,369,8,0.0165,0.0154,0.0011,4.33,Pallet Signature Label Printer,Orin Smart Notebook Pack
46,385,8,0.0151,0.0168,0.0011,4.33,Halcyon Smart Gaming Chair,Kestrel Wireless Tripod
24,53,6,0.0144,0.0132,0.00083,4.33,Trailhead UltraLight Ukulele,Milbrook Everyday Sneakers
92,372,8,0.016,0.016,0.0011,4.32,Milbrook Deluxe Winter Coat,Meadow Portable Water Bottle
41,293,6,0.014,0.0136,0.00083,4.32,Milbrook Compact Sketchbook,Wrenfield UltraLight Massage Gun
126,410,6,0.0139,0.0138,0.00083,4.32,Alto Portable Storage Ottoman,Verve Compact Baby Monitor
49,81,6,0.0153,0.0125,0.00083,4.32,Orin Premium RC Car,Wrenfield EcoFriendly Digital Thermometer
86,117,5,0.0133,0.012,0.00069,4.31,Trailhead EcoFriendly Electric Toothbrush,Vireo Classic Cat Tree
31,181,6,0.0158,0.0121,0.00083,4.31,Halcyon Pro Ergonomic Mouse,Pallet Wireless Chew Toy Pack
58,78,6,0.0158,0.0121,0.00083,4.31,Verve Advanced Sneakers,Kestrel Classic Laptop Stand
10,54,7,0.0158,0.0142,0.00096,4.3,Fjord UltraLight Water Bottle,Kestrel Premium Coffee Maker
106,239,6,0.0129,0.0149,0.00083,4.3,Northline UltraLight Baby Monitor,Verve Portable BBQ Grill
193,261,6,0.0129,0.0149,0.00083,4.3,Fjord Premium Dog Bed,Milbrook HeavyDuty Microwave
