ProductKey,ProductName,ASIN,Brand,CategoryKey,SubCategory,UnitCost,ListPrice,LaunchDate,Status,VendorKey
23,Orin Compact Packing Cubes,B050539152,Orin,20,Packing Cubes,139.68,213.42,2025-06-01,Active,61
24,Trailhead UltraLight Ukulele,B020047595,Trailhead,18,Ukulele,84.9,126.6,2022-06-06,Active,102
25,Basecamp HeavyDuty Gaming Headset,B064706505,Basecamp,17,Gaming Headset,20.12,50.32,2021-11-06,Active,47
26,Sundial Advanced Shaver,B032992356,Sundial,3,Shaver,157.64,359.21,2023-10-17,Active,25
27,Cinder Smart Stroller,B045119150,Cinder,13,Stroller,42.93,110.98,2023-04-11,Active,16
28,Meadow Everyday Silver Necklace,B031900146,Meadow,21,Silver Necklace,9.97,22.3,2019-05-17,Discontinued,59
29,Meadow Compact Label Printer,B034728848,Meadow,11,Label Printer,84.11,170.48,2020-09-06,Active,108
30,Vireo Portable Camera Bag,B022267883,Vireo,23,Camera Bag,159.76,325.32,2019-07-02,Active,120
31,Halcyon Pro Ergonomic Mouse,B017152747,Halcyon,11,Ergonomic Mouse,114.16,281.2,2022-12-20,Active,55
32,Vireo Classic Pet Carrier,B016733215,Vireo,10,Pet Carrier,7.74,18.96,2022-07-21,Discontinued,123
33,Verve Portable Tape Measure,B088414095,Verve,15,Tape Measure,74.74,147.68,2020-11-27,Active,121
34,Meadow Advanced Sewing Kit,B056695565,Meadow,25,Sewing Kit,95.96,218.67,2024-08-12,Active,68
35,Basecamp Advanced Keyboard 61-Key,B077506574,Basecamp,18,Keyboard 61-Key,11.41,16.22,2024-06-21,Active,88
36,Basecamp HeavyDuty Digital Thermometer,B068327846,Basecamp,14,Digital Thermometer,142.4,214.64,2020-12-10,Active,46
37,Halcyon Advanced Puzzle Book,B065498298,Halcyon,16,Puzzle Book,178.1,408.21,2021-02-10,Active,93
38,Halcyon Wireless Slippers,B017456985,Halcyon,8,Slippers,25.18,36.67,2021-04-04,Active,3
39,Roverly Essential Rice Cooker,B085785788,Roverly,24,Rice Cooker,42.07,85.06,2021-11-09,Active,82
40,Kestrel UltraLight Cordless Drill,B034586222,Kestrel,15,Cordless Drill,147.59,246.38,2021-06-11,Active,68
41,Milbrook Compact Sketchbook,B044045468,Milbrook,16,Sketchbook,158.43,272.3,2021-09-14,Active,76
42,Roverly Smart Protein Powder,B010605409,Roverly,6,Protein Powder,119.32,245.92,2021-08-12,Active,38
43,Sundial Essential Bookshelf,B093665691,Sundial,9,Bookshelf,91.27,136.65,2023-09-08,Active,81
44,Halcyon UltraLight Denim Jeans,B027434167,Halcyon,7,Denim Jeans,88.58,186.98,2022-09-08,Active,40
45,Halcyon Portable Packing Cubes,B019456807,Halcyon,20,Packing Cubes,133.17,269.74,2025-07-11,Active,59
46,Halcyon Smart Gaming Chair,B061900771,Halcyon,17,Gaming Chair,151.31,338.48,2022-04-08,Active,7
47,Halcyon EcoFriendly Plush Toy,B032098345,Halcyon,4,Plush Toy,157.44,225.94,2026-01-26,Active,107
48,Meadow Advanced Tea Sampler,B042073692,Meadow,6,Tea Sampler,32.29,76.9,2020-08-11,Active,13
49,Orin Premium RC Car,B048965695,Orin,4,RC Car,115.2,197.2,2020-11-30,Active,70
50,Meadow Advanced Gaming Chair,B042735803,Meadow,17,Gaming Chair,99.26,253.67,2022-12-06,Active,37
51,Alto Deluxe Sketchbook,B053497663,Alto,16,Sketchbook,34.58,80.4,2020-12-31,Active,150
52,Northline Classic Running Shoes,B030353727,Northline,8,Running Shoes,14.19,21.14,2025-03-07,Active,125
53,Milbrook Everyday Sneakers,B014421590,Milbrook,8,Sneakers,148.59,274.33,2025-11-11,Active,29
54,Kestrel Premium Coffee Maker,B067641756,Kestrel,2,Coffee Maker,83.44,133.2,2021-06-05,Active,116
55,Pallet Signature Toaster,B036267668,Pallet,24,Toaster,44.49,69.3,2021-09-15,Discontinued,101
56,Lumen Pro Cotton T-Shirt,B023245696,Lumen,7,Cotton T-Shirt,137.78,266.02,2023-03-11,Active,15
57,Kestrel Portable Gaming Headset,B098511758,Kestrel,17,Gaming Headset,9.48,20.69,2023-12-15,Active,27
58,Verve Advanced Sneakers,B014437677,Verve,8,Sneakers,20.04,31.75,2021-11-16,Active,131
59,Kestrel HeavyDuty Patio Heater,B029659206,Kestrel,19,Patio Heater,36.64,71.61,2025-03-03,Active,84
60,Lumen Smart Bed Frame,B067661940,Lumen,9,Bed Frame,43.7,69.61,2021-10-10,Active,88
61,Verve Portable LED Work Light,B098240465,Verve,15,LED Work Light,6.05,9.0,2022-09-05,Active,95
62,Northline Portable Bookshelf,B060495701,Northline,9,Bookshelf,171.67,427.35,2021-02-17,Active,41
63,Pallet HeavyDuty Cordless Drill,B074274067,Pallet,15,Cordless Drill,29.08,58.12,2022-01-14,Active,97
64,Northline Premium Journal,B070350105,Northline,16,Journal,159.33,238.84,2024-12-03,Active,103
65,Wrenfield Advanced Analog Watch,B056462256,Wrenfield,22,Analog Watch,148.57,215.34,2020-03-03,Discontinued,61
66,Lumen EcoFriendly Phone Mount,B053148703,Lumen,12,Phone Mount,108.68,232.57,2025-03-20,Active,8
67,Roverly HeavyDuty Blender,B080189955,Roverly,2,Blender,147.41,220.55,2022-01-12,Active,22
68,Kestrel Signature Tool Set,B092162634,Kestrel,15,Tool Set,11.17,17.84,2019-01-14,Active,12
69,Halcyon Portable Kids Watch,B046286070,Halcyon,22,Kids Watch,112.37,201.68,2021-01-19,Active,32
70,Wrenfield HeavyDuty Packing Cubes,B058226615,Wrenfield,20,Packing Cubes,7.67,16.75,2020-07-02,Restricted,131
71,Kestrel Classic Puzzle 1000pc,B042997728,Kestrel,4,Puzzle 1000pc,42.82,81.45,2022-05-15,Active,49
72,Basecamp Signature Rice Cooker,B030808635,Basecamp,24,Rice Cooker,64.88,119.72,2026-01-23,Active,96
73,Vireo Pro Controller,B060277283,Vireo,17,Controller,89.65,219.47,2022-12-12,Active,115
74,Cinder Deluxe Stud Earrings,B071688718,Cinder,21,Stud Earrings,71.56,140.18,2024-08-30,Active,26
75,Trailhead Advanced Camera Bag,B039124900,Trailhead,23,Camera Bag,45.81,117.53,2020-01-10,Active,41
76,Roverly Deluxe Vacuum Cleaner,B016491878,Roverly,2,Vacuum Cleaner,108.35,227.03,2019-05-10,Active,123
77,Vireo Smart Car Vacuum,B031320139,Vireo,12,Car Vacuum,155.01,218.69,2023-01-12,Active,45
78,Kestrel Classic Laptop Stand,B066437579,Kestrel,11,Laptop Stand,81.8,147.0,2023-06-17,Active,1
79,Fjord Pro Glue Gun Kit,B076575221,Fjord,25,Glue Gun Kit,112.62,253.18,2020-07-29,Active,121
80,Roverly Essential 4K Monitor,B048090551,Roverly,1,4K Monitor,120.83,237.98,2023-07-14,Active,134
81,Wrenfield EcoFriendly Digital Thermometer,B097818521,Wrenfield,14,Digital Thermometer,177.66,274.94,2022-08-09,Active,119
82,Basecamp Deluxe Skincare Set,B054336333,Basecamp,3,Skincare Set,168.36,299.58,2021-10-05,Active,20
83,Milbrook Compact Storage Ottoman,B085643942,Milbrook,9,Storage Ottoman,7.06,12.62,2022-04-23,Active,38
84,Halcyon Everyday Planner 2026,B083798006,Halcyon,16,Planner 2026,29.26,73.96,2021-06-10,Active,85
85,Fjord Everyday Building Blocks Set,B099763925,Fjord,4,Building Blocks Set,31.48,52.93,2023-02-27,Active,55
86,Trailhead EcoFriendly Electric Toothbrush,B044831079,Trailhead,3,Electric Toothbrush,7.08,11.99,2019-10-30,Active,72
87,Alto Advanced Hair Dryer,B071585037,Alto,3,Hair Dryer,123.07,204.15,2024-06-22,Active,69
88,Vireo Classic Running Shoes,B012825896,Vireo,8,Running Shoes,179.9,262.27,2023-05-28,Restricted,13
89,Halcyon Essential Smart Watch,B093428995,Halcyon,22,Smart Watch,54.81,83.91,2020-05-08,Active,82
90,Halcyon Smart Dive Watch,B034733272,Halcyon,22,Dive Watch,147.94,228.46,2021-04-01,Active,65
91,Meadow Classic Coffee Maker,B021748768,Meadow,2,Coffee Maker,103.17,191.54,2023-02-05,Active,35
92,Milbrook Deluxe Winter Coat,B011912584,Milbrook,7,Winter Coat,110.21,242.67,2021-08-19,Active,26
93,Cinder Deluxe Stud Earrings,B070795662,Cinder,21,Stud Earrings,30.22,61.41,2023-10-30,Active,87
94,Milbrook HeavyDuty Stroller,B047710964,Milbrook,13,Stroller,7.21,11.79,2021-10-11,Active,25
95,Roverly EcoFriendly Nursery Lamp,B042945953,Roverly,13,Nursery Lamp,38.7,76.43,2021-02-25,Active,117
96,Roverly Advanced Nursery Lamp,B081226787,Roverly,13,Nursery Lamp,97.68,204.85,2019-04-16,Active,2
97,Alto Portable Running Shoes,B077284075,Alto,8,Running Shoes,148.88,301.78,2022-07-10,Active,141
98,Trailhead Classic Ergonomic Mouse,B023952821,Trailhead,11,Ergonomic Mouse,165.52,316.05,2023-12-04,Active,120
99,Roverly Classic Smart Plug,B049541461,Roverly,1,Smart Plug,171.45,363.81,2022-07-24,Active,26
100,Trailhead Signature Ergonomic Mouse,B051538255,Trailhead,11,Ergonomic Mouse,34.76,63.71,2025-01-08,Active,91
101,Wrenfield Pro Chew Toy Pack,B081537554,Wrenfield,10,Chew Toy Pack,132.82,321.61,2019-05-26,Active,69
102,Cinder Wireless Controller,B082892046,Cinder,17,Controller,155.85,258.72,2020-10-23,Active,11
103,Pallet Smart Blender,B091756929,Pallet,2,Blender,115.23,169.4,2021-07-09,Active,7
104,Kestrel Compact Glue Gun Kit,B024578363,Kestrel,25,Glue Gun Kit,81.92,158.51,2025-11-11,Active,68
105,Trailhead Deluxe Cat Tree,B097144164,Trailhead,10,Cat Tree,163.37,380.19,2019-02-05,Active,131
106,Northline UltraLight Baby Monitor,B031088012,Northline,13,Baby Monitor,43.89,80.14,2020-12-08,Active,130
107,Cinder Essential Bed Frame,B017334901,Cinder,9,Bed Frame,45.13,92.43,2023-10-02,Active,58
108,Lumen Deluxe BBQ Grill,B061112289,Lumen,19,BBQ Grill,13.21,24.49,2022-05-17,Active,116
109,Alto Classic Notebook Pack,B071108534,Alto,11,Notebook Pack,173.25,374.56,2021-10-13,Active,121
110,Sundial Premium Nursery Lamp,B042325149,Sundial,13,Nursery Lamp,121.02,284.95,2023-08-07,Active,92
111,Basecamp UltraLight Sandals,B075749277,Basecamp,8,Sandals,133.74,310.59,2025-06-26,Active,150
112,Meadow UltraLight Dash Cam,B013341861,Meadow,12,Dash Cam,156.18,332.69,2025-11-12,Active,142
113,Wrenfield Premium Shaver,B097210744,Wrenfield,3,Shaver,64.13,119.1,2024-07-03,Active,75
114,Alto Pro BBQ Grill,B061914894,Alto,19,BBQ Grill,157.71,251.41,2020-02-10,Restricted,101
115,Cinder Classic Sneakers,B022670380,Cinder,8,Sneakers,167.78,258.32,2020-08-16,Active,134
116,Pallet Everyday Kettle,B030892578,Pallet,24,Kettle,18.24,34.36,2019-05-10,Active,20
117,Vireo Classic Cat Tree,B064206558,Vireo,10,Cat Tree,27.32,66.51,2019-06-13,Active,110
118,Kestrel Pro Hiking Backpack,B034362375,Kestrel,5,Hiking Backpack,171.69,410.38,2023-08-04,Active,25
119,Cinder Portable Winter Coat,B036379085,Cinder,7,Winter Coat,173.98,333.87,2020-06-26,Active,60
120,Vireo EcoFriendly Jump Starter,B028392993,Vireo,12,Jump Starter,118.44,187.42,2023-03-21,Active,130
121,Roverly Compact Ring Light,B062097172,Roverly,23,Ring Light,177.13,298.82,2022-01-27,Active,115
122,Alto Premium Notebook Pack,B018815995,Alto,11,Notebook Pack,115.44,193.32,2024-11-18,Active,52
123,Lumen HeavyDuty Drum Pad,B040590972,Lumen,18,Drum Pad,78.99,122.98,2023-05-17,Active,92
124,Basecamp Portable Tea Sampler,B092430197,Basecamp,6,Tea Sampler,5.94,11.28,2025-09-18,Active,149
125,Meadow Everyday Stroller,B028463212,Meadow,13,Stroller,112.93,201.94,2024-07-02,Restricted,82
126,Alto Portable Storage Ottoman,B082487614,Alto,9,Storage Ottoman,69.37,119.25,2025-09-08,Active,117
127,Alto Advanced Stud Earrings,B041216359,Alto,21,Stud Earrings,156.18,264.28,2020-08-16,Active,42
128,Halcyon Classic Sketchbook,B032897064,Halcyon,16,Sketchbook,27.43,41.76,2020-01-28,Active,60
129,Trailhead Premium Storage Ottoman,B064254875,Trailhead,9,Storage Ottoman,167.74,285.77,2025-03-29,Active,34
130,Fjord Deluxe Packing Cubes,B042038060,Fjord,20,Packing Cubes,43.95,108.44,2021-05-05,Active,87
131,Halcyon UltraLight Rice Cooker,B059896930,Halcyon,24,Rice Cooker,10.69,24.54,2020-02-12,Active,133
132,Fjord Essential Tape Measure,B018589747,Fjord,15,Tape Measure,66.17,116.18,2023-08-02,Active,135
133,Milbrook HeavyDuty Sandals,B071730143,Milbrook,8,Sandals,76.54,157.64,2024-07-30,Active,138
134,Fjord Premium Planner 2026,B088113713,Fjord,16,Planner 2026,139.38,299.61,2025-11-15,Active,36
135,Pallet Pro Webcam,B055961405,Pallet,1,Webcam,16.19,41.31,2019-04-29,Active,10
136,Cinder Pro Dive Watch,B095567156,Cinder,22,Dive Watch,87.48,134.43,2021-02-19,Discontinued,144
137,Milbrook Compact Nursery Lamp,B015418952,Milbrook,13,Nursery Lamp,11.7,17.94,2025-02-08,Active,59
138,Wrenfield Classic Shaver,B094749483,Wrenfield,3,Shaver,169.98,287.07,2023-10-15,Active,113
139,Meadow Wireless Massage Gun,B031654924,Meadow,14,Massage Gun,152.99,382.89,2025-01-05,Active,126
140,Milbrook EcoFriendly Slow Cooker,B038899868,Milbrook,24,Slow Cooker,51.4,105.24,2021-02-08,Active,27
141,Roverly Signature Solar Lights,B040779669,Roverly,19,Solar Lights,93.03,224.09,2020-04-05,Active,97
142,Meadow Signature Laptop Stand,B029748999,Meadow,11,Laptop Stand,105.58,258.94,2022-02-08,Active,144
143,Basecamp HeavyDuty Air Fryer,B030686655,Basecamp,2,Air Fryer,159.14,275.87,2023-02-15,Active,10
144,Meadow Advanced Plush Toy,B020916876,Meadow,4,Plush Toy,112.24,249.79,2024-11-29,Active,86
145,Cinder Classic Sewing Kit,B016739013,Cinder,25,Sewing Kit,135.25,222.21,2023-11-14,Active,101
146,Roverly Pro Stroller,B065073945,Roverly,13,Stroller,82.96,188.03,2026-01-27,Active,54
147,Lumen Classic Glue Gun Kit,B062496899,Lumen,25,Glue Gun Kit,33.37,53.98,2021-07-29,Active,3
148,Alto Classic Tea Sampler,B046059026,Alto,6,Tea Sampler,13.29,26.37,2020-08-16,Active,60
149,Pallet Premium BBQ Grill,B025663645,Pallet,19,BBQ Grill,30.22,67.53,2022-01-04,Restricted,117
150,Sundial Wireless Notebook Pack,B083476576,Sundial,11,Notebook Pack,69.73,107.86,2024-11-30,Active,116
151,Roverly EcoFriendly Action Camera,B084002592,Roverly,23,Action Camera,179.71,452.82,2024-01-11,Active,4
152,Roverly Signature Winter Coat,B050253576,Roverly,7,Winter Coat,76.14,183.33,2019-03-16,Discontinued,69
153,Trailhead Pro Microwave,B092450685,Trailhead,24,Microwave,62.87,89.99,2024-02-29,Active,81
154,Trailhead Portable Charm Bracelet,B062209619,Trailhead,21,Charm Bracelet,154.08,257.41,2020-08-03,Active,74
155,Lumen Pro Microphone Kit,B023487010,Lumen,18,Microphone Kit,115.09,168.01,2021-10-06,Active,57
156,Orin Deluxe Neck Pillow,B015905950,Orin,20,Neck Pillow,31.97,68.17,2019-07-07,Discontinued,36
157,Cinder Advanced Chew Toy Pack,B010019675,Cinder,10,Chew Toy Pack,11.85,17.11,2021-06-21,Active,138
158,Halcyon Smart Toaster,B020151607,Halcyon,24,Toaster,51.19,81.27,2022-06-05,Active,82
159,Alto EcoFriendly Dash Cam,B068835615,Alto,12,Dash Cam,59.47,138.34,2022-11-23,Active,148
160,Cinder Classic Smart Plug,B063889337,Cinder,1,Smart Plug,142.64,306.58,2019-06-14,Restricted,69
161,Basecamp Everyday Sports Watch,B050956756,Basecamp,22,Sports Watch,103.5,202.52,2024-02-24,Active,117
162,Trailhead Signature Digital Thermometer,B060538135,Trailhead,14,Digital Thermometer,19.64,43.61,2025-05-25,Active,98
163,Milbrook Classic Notebook Pack,B092249313,Milbrook,11,Notebook Pack,15.91,35.79,2020-06-12,Active,98
164,Basecamp Classic Acoustic Guitar,B088326927,Basecamp,18,Acoustic Guitar,170.44,412.46,2019-04-08,Active,125
165,Roverly UltraLight Digital Thermometer,B098934079,Roverly,14,Digital Thermometer,94.2,223.04,2020-09-02,Active,49
166,Alto Pro Dive Watch,B015384935,Alto,22,Dive Watch,137.19,277.57,2025-08-20,Active,116
167,Orin Advanced Puzzle 1000pc,B021616152,Orin,4,Puzzle 1000pc,102.59,236.05,2021-05-30,Active,131
168,Trailhead Premium Winter Coat,B051245272,Trailhead,7,Winter Coat,91.62,139.86,2023-12-20,Active,147
169,Milbrook Wireless Plush Toy,B059840603,Milbrook,4,Plush Toy,39.86,80.84,2025-12-30,Active,85
170,Roverly Signature Cordless Drill,B053391803,Roverly,15,Cordless Drill,165.06,336.66,2026-02-14,Active,12
171,Sundial Everyday Solar Lights,B064134634,Sundial,19,Solar Lights,154.86,385.19,2023-07-08,Restricted,129
172,Sundial HeavyDuty Activewear Set,B066366866,Sundial,7,Activewear Set,30.77,59.34,2025-08-10,Active,12
173,Sundial Advanced Sandals,B060122260,Sundial,8,Sandals,177.96,352.79,2021-10-09,Active,4
174,Basecamp Deluxe Bed Frame,B075532833,Basecamp,9,Bed Frame,102.52,208.41,2024-04-23,Active,133
175,Orin Portable High Chair,B051156155,Orin,13,High Chair,148.16,303.57,2025-03-08,Active,139
176,Cinder Signature Camping Tent,B039012949,Cinder,5,Camping Tent,84.83,155.18,2022-06-03,Active,30
177,Northline Essential Electric Toothbrush,B099856306,Northline,3,Electric Toothbrush,46.22,72.58,2019-02-10,Active,58
178,Sundial Smart Puzzle Book,B054474126,Sundial,16,Puzzle Book,105.6,241.37,2023-08-02,Active,33
179,Sundial Portable Drum Pad,B040671003,Sundial,18,Drum Pad,22.72,40.39,2025-04-14,Active,148
180,Fjord Premium Bed Frame,B038563971,Fjord,9,Bed Frame,16.79,25.06,2023-05-22,Active,47
181,Pallet Wireless Chew Toy Pack,B040912354,Pallet,10,Chew Toy Pack,137.63,341.92,2020-07-04,Active,115
182,Vireo Deluxe Coffee Beans 1kg,B076134855,Vireo,6,Coffee Beans 1kg,82.68,161.43,2020-05-15,Active,147
183,Verve Pro Craft Storage Box,B020539669,Verve,25,Craft Storage Box,11.4,26.08,2019-06-03,Active,83
184,Trailhead Wireless Phone Mount,B044020414,Trailhead,12,Phone Mount,127.08,305.93,2025-01-29,Active,124
185,Roverly HeavyDuty Baby Monitor,B050580924,Roverly,13,Baby Monitor,83.17,138.24,2022-12-31,Active,30
186,Pallet Premium Cookbook,B031725224,Pallet,16,Cookbook,109.31,192.02,2025-07-09,Active,68
187,Vireo UltraLight Resistance Bands,B015051646,Vireo,5,Resistance Bands,121.53,256.66,2023-07-14,Active,62
188,Cinder Advanced Microwave,B056597588,Cinder,24,Microwave,106.57,276.5,2023-05-05,Active,69
189,Kestrel Essential Watch Band,B065620931,Kestrel,21,Watch Band,89.95,205.54,2024-04-12,Active,65
190,Roverly Everyday Massage Gun,B063789198,Roverly,14,Massage Gun,18.47,46.04,2025-01-30,Active,26
191,Fjord Portable Shaver,B074999068,Fjord,3,Shaver,170.87,330.51,2020-05-19,Active,55
192,Alto HeavyDuty Watch Band,B065967937,Alto,21,Watch Band,71.67,142.28,2023-02-24,Active,91
193,Fjord Premium Dog Bed,B046575804,Fjord,10,Dog Bed,115.6,171.68,2024-04-20,Active,27
194,Trailhead HeavyDuty Ukulele,B046926887,Trailhead,18,Ukulele,174.99,314.56,2021-05-16,Active,84
195,Lumen Portable Carry-On Suitcase,B033499306,Lumen,20,Carry-On Suitcase,154.33,225.23,2022-03-05,Active,97
196,Verve Everyday Electric Toothbrush,B027962327,Verve,3,Electric Toothbrush,42.46,79.66,2025-08-26,Active,41
197,Meadow UltraLight Coffee Beans 1kg,B073388426,Meadow,6,Coffee Beans 1kg,105.16,150.97,2023-09-24,Active,139
198,Pallet Signature Label Printer,B030491595,Pallet,11,Label Printer,33.08,61.79,2019-01-19,Active,109
199,Sundial Portable Kids Watch,B047358841,Sundial,22,Kids Watch,56.22,127.18,2021-09-14,Active,91
200,Verve Signature Chew Toy Pack,B047962717,Verve,10,Chew Toy Pack,110.27,245.23,2022-09-09,Active,82
201,Roverly Wireless Toiletry Bag,B085935097,Roverly,20,Toiletry Bag,77.73,178.89,2019-11-28,Active,41
202,Orin Signature Humidifier,B053513097,Orin,14,Humidifier,117.78,290.4,2024-06-19,Active,51
203,Meadow Smart Smart Watch,B026938661,Meadow,22,Smart Watch,157.77,357.94,2020-09-20,Active,94
204,Orin Premium Journal,B073135532,Orin,16,Journal,78.28,137.31,2024-01-31,Active,101
205,Verve Advanced Label Printer,B030978981,Verve,11,Label Printer,42.03,82.38,2022-12-02,Active,107
206,Kestrel Pro Sewing Kit,B043222265,Kestrel,25,Sewing Kit,17.66,36.22,2024-07-14,Active,108
207,Kestrel Wireless Travel Backpack,B037345255,Kestrel,20,Travel Backpack,154.93,387.32,2024-09-01,Active,57
208,Northline HeavyDuty Nursery Lamp,B085566275,Northline,13,Nursery Lamp,96.54,194.43,2019-01-07,Active,65
209,Trailhead Signature Building Blocks Set,B056705646,Trailhead,4,Building Blocks Set,117.66,254.65,2022-12-21,Active,126
210,Verve Premium BBQ Grill,B086113335,Verve,19,BBQ Grill,123.17,261.97,2021-07-18,Restricted,65
211,Halcyon Premium Power Bank,B012846274,Halcyon,1,Power Bank,175.08,293.12,2020-03-18,Restricted,4
212,Pallet EcoFriendly Analog Watch,B097764530,Pallet,22,Analog Watch,9.45,17.63,2022-06-11,Active,59
213,Trailhead Signature Slippers,B016299492,Trailhead,8,Slippers,162.41,250.01,2025-01-26,Active,134
214,Orin Compact Planner 2026,B072199283,Orin,16,Planner 2026,177.19,309.39,2025-10-14,Active,22
215,Basecamp Essential Digital Thermometer,B061117909,Basecamp,14,Digital Thermometer,88.11,179.63,2019-12-31,Active,87
216,Trailhead Wireless Bookshelf,B041981908,Trailhead,9,Bookshelf,149.52,336.54,2021-01-31,Active,21
217,Meadow EcoFriendly Slow Cooker,B070974359,Meadow,24,Slow Cooker,99.89,159.65,2024-06-05,Restricted,141
218,Alto EcoFriendly Electric Toothbrush,B067222357,Alto,3,Electric Toothbrush,74.71,193.69,2024-11-21,Active,19
219,Fjord Everyday Nappy Bag,B012975605,Fjord,13,Nappy Bag,10.94,21.56,2025-01-20,Active,64
220,Vireo Essential Gaming Chair,B034276628,Vireo,17,Gaming Chair,131.1,267.45,2025-04-12,Active,5
221,Orin UltraLight Building Blocks Set,B065415449,Orin,4,Building Blocks Set,158.37,401.13,2021-06-01,Restricted,52
222,Lumen Pro Tripod,B059566094,Lumen,23,Tripod,95.95,199.12,2025-09-20,Active,82
223,Roverly Wireless Coffee Maker,B043214626,Roverly,2,Coffee Maker,138.56,289.35,2019-12-31,Active,73
224,Verve Portable Automatic Feeder,B046355877,Verve,10,Automatic Feeder,116.67,205.12,2021-04-19,Active,69
225,Pallet Signature Smart Plug,B044761183,Pallet,1,Smart Plug,42.85,97.73,2022-02-11,Discontinued,67
226,Trailhead Classic Vacuum Cleaner,B099796264,Trailhead,2,Vacuum Cleaner,115.33,250.65,2022-05-12,Active,30
227,Roverly Advanced Garden Hose,B067421126,Roverly,19,Garden Hose,178.34,292.62,2019-04-23,Active,67
228,Basecamp Pro Smart Watch,B091272708,Basecamp,22,Smart Watch,134.32,211.07,2023-11-03,Active,127
229,Kestrel Pro Yoga Mat,B075065901,Kestrel,5,Yoga Mat,111.99,168.69,2021-03-12,Active,4
230,Fjord Wireless Kettle,B052161441,Fjord,24,Kettle,23.54,55.79,2024-07-08,Active,83
231,Sundial Deluxe Kettle,B066975081,Sundial,24,Kettle,123.99,190.39,2019-06-11,Active,102
232,Vireo Compact Kids Watch,B068558971,Vireo,22,Kids Watch,128.98,283.79,2024-05-04,Active,136
233,Meadow Deluxe Cotton T-Shirt,B053942324,Meadow,7,Cotton T-Shirt,87.85,146.82,2023-08-21,Active,147
234,Verve Wireless Chew Toy Pack,B049839283,Verve,10,Chew Toy Pack,130.68,318.9,2023-01-19,Active,114
235,Pallet HeavyDuty Journal,B013388445,Pallet,16,Journal,148.77,351.8,2021-11-11,Active,59
236,Pallet HeavyDuty Desk Organiser,B031847630,Pallet,11,Desk Organiser,159.23,380.33,2022-01-03,Active,93
237,Lumen Compact Stroller,B026406440,Lumen,13,Stroller,161.65,339.45,2023-12-05,Active,121
238,Milbrook HeavyDuty Rice Cooker,B013641771,Milbrook,24,Rice Cooker,149.5,232.61,2019-05-17,Active,82
239,Verve Portable BBQ Grill,B057423958,Verve,19,BBQ Grill,70.41,177.69,2025-09-14,Active,60
240,Trailhead Smart Sports Watch,B053531276,Trailhead,22,Sports Watch,28.48,48.56,2019-08-23,Active,24
241,Verve EcoFriendly Camera Bag,B059885716,Verve,23,Camera Bag,123.0,311.53,2023-10-03,Active,140
